ID	Gene Name	Species	GOTERM_BP_DIRECT
MIF	macrophage migration inhibitory factor (glycosylation-inhibiting factor)(MIF)	Homo sapiens	GO:0001516~prostaglandin biosynthetic process,GO:0002906~negative regulation of mature B cell apoptotic process,GO:0006954~inflammatory response,GO:0007166~cell surface receptor signaling pathway,GO:0007569~cell aging,GO:0008283~cell proliferation,GO:0010629~negative regulation of gene expression,GO:0010739~positive regulation of protein kinase A signaling,GO:0019752~carboxylic acid metabolic process,GO:0030330~DNA damage response, signal transduction by p53 class mediator,GO:0030890~positive regulation of B cell proliferation,GO:0031666~positive regulation of lipopolysaccharide-mediated signaling pathway,GO:0032269~negative regulation of cellular protein metabolic process,GO:0033033~negative regulation of myeloid cell apoptotic process,GO:0033138~positive regulation of peptidyl-serine phosphorylation,GO:0042327~positive regulation of phosphorylation,GO:0043030~regulation of macrophage activation,GO:0043066~negative regulation of apoptotic process,GO:0043406~positive regulation of MAP kinase activity,GO:0043518~negative regulation of DNA damage response, signal transduction by p53 class mediator,GO:0045087~innate immune response,GO:0048146~positive regulation of fibroblast proliferation,GO:0050715~positive regulation of cytokine secretion,GO:0050731~positive regulation of peptidyl-tyrosine phosphorylation,GO:0050900~leukocyte migration,GO:0050918~positive chemotaxis,GO:0061078~positive regulation of prostaglandin secretion involved in immune response,GO:0061081~positive regulation of myeloid leukocyte cytokine production involved in immune response,GO:0070207~protein homotrimerization,GO:0070374~positive regulation of ERK1 and ERK2 cascade,GO:0071157~negative regulation of cell cycle arrest,GO:0090238~positive regulation of arachidonic acid secretion,GO:0090344~negative regulation of cell aging,GO:1902166~negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator,GO:2000343~positive regulation of chemokine (C-X-C motif) ligand 2 production,
MARCO	macrophage receptor with collagenous structure(MARCO)	Homo sapiens	GO:0002221~pattern recognition receptor signaling pathway,GO:0006898~receptor-mediated endocytosis,GO:0007166~cell surface receptor signaling pathway,GO:0043277~apoptotic cell clearance,GO:0045087~innate immune response,
MSR1	macrophage scavenger receptor 1(MSR1)	Homo sapiens	GO:0006898~receptor-mediated endocytosis,GO:0010744~positive regulation of macrophage derived foam cell differentiation,GO:0010886~positive regulation of cholesterol storage,GO:0030301~cholesterol transport,GO:0034381~plasma lipoprotein particle clearance,GO:0042953~lipoprotein transport,GO:0071407~cellular response to organic cyclic compound,
MST1R	macrophage stimulating 1 receptor(MST1R)	Homo sapiens	GO:0006928~movement of cell or subcellular component,GO:0006952~defense response,GO:0007165~signal transduction,GO:0007338~single fertilization,GO:0008284~positive regulation of cell proliferation,GO:0009615~response to virus,GO:0018108~peptidyl-tyrosine phosphorylation,GO:0038145~macrophage colony-stimulating factor signaling pathway,GO:0043406~positive regulation of MAP kinase activity,GO:0045087~innate immune response,GO:0048012~hepatocyte growth factor receptor signaling pathway,GO:0051897~positive regulation of protein kinase B signaling,
HLA-A	major histocompatibility complex, class I, A(HLA-A)	Homo sapiens	GO:0001916~positive regulation of T cell mediated cytotoxicity,GO:0002474~antigen processing and presentation of peptide antigen via MHC class I,GO:0002479~antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent,GO:0002480~antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent,GO:0002486~antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent,GO:0002726~positive regulation of T cell cytokine production,GO:0006955~immune response,GO:0016032~viral process,GO:0016045~detection of bacterium,GO:0019731~antibacterial humoral response,GO:0019882~antigen processing and presentation,GO:0019885~antigen processing and presentation of endogenous peptide antigen via MHC class I,GO:0032729~positive regulation of interferon-gamma production,GO:0042270~protection from natural killer cell mediated cytotoxicity,GO:0050690~regulation of defense response to virus by virus,GO:0050776~regulation of immune response,GO:0050830~defense response to Gram-positive bacterium,GO:0060333~interferon-gamma-mediated signaling pathway,GO:0060337~type I interferon signaling pathway,GO:2000566~positive regulation of CD8-positive, alpha-beta T cell proliferation,GO:2000568~positive regulation of memory T cell activation,GO:2001187~positive regulation of CD8-positive, alpha-beta T cell activation,
HLA-B	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens	GO:0001916~positive regulation of T cell mediated cytotoxicity,GO:0002474~antigen processing and presentation of peptide antigen via MHC class I,GO:0002479~antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent,GO:0002480~antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent,GO:0002486~antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent,GO:0002667~regulation of T cell anergy,GO:0006952~defense response,GO:0006955~immune response,GO:0016032~viral process,GO:0016045~detection of bacterium,GO:0019882~antigen processing and presentation,GO:0032655~regulation of interleukin-12 production,GO:0032675~regulation of interleukin-6 production,GO:0042270~protection from natural killer cell mediated cytotoxicity,GO:0045087~innate immune response,GO:0050776~regulation of immune response,GO:0060333~interferon-gamma-mediated signaling pathway,GO:0060337~type I interferon signaling pathway,GO:2001198~regulation of dendritic cell differentiation,
HLA-C	major histocompatibility complex, class I, C(HLA-C)	Homo sapiens	GO:0002474~antigen processing and presentation of peptide antigen via MHC class I,GO:0002479~antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent,GO:0002480~antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent,GO:0002486~antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent,GO:0006955~immune response,GO:0016032~viral process,GO:0019882~antigen processing and presentation,GO:0045087~innate immune response,GO:0050776~regulation of immune response,GO:0060333~interferon-gamma-mediated signaling pathway,GO:0060337~type I interferon signaling pathway,
HLA-E	major histocompatibility complex, class I, E(HLA-E)	Homo sapiens	GO:0001916~positive regulation of T cell mediated cytotoxicity,GO:0002250~adaptive immune response,GO:0002474~antigen processing and presentation of peptide antigen via MHC class I,GO:0002476~antigen processing and presentation of endogenous peptide antigen via MHC class Ib,GO:0002479~antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent,GO:0002480~antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent,GO:0002715~regulation of natural killer cell mediated immunity,GO:0002717~positive regulation of natural killer cell mediated immunity,GO:0006955~immune response,GO:0019731~antibacterial humoral response,GO:0019882~antigen processing and presentation,GO:0032736~positive regulation of interleukin-13 production,GO:0032753~positive regulation of interleukin-4 production,GO:0032759~positive regulation of TRAIL production,GO:0032760~positive regulation of tumor necrosis factor production,GO:0036037~CD8-positive, alpha-beta T cell activation,GO:0042270~protection from natural killer cell mediated cytotoxicity,GO:0045087~innate immune response,GO:0050776~regulation of immune response,GO:0050830~defense response to Gram-positive bacterium,GO:0051024~positive regulation of immunoglobulin secretion,GO:0060333~interferon-gamma-mediated signaling pathway,GO:0060337~type I interferon signaling pathway,GO:2000566~positive regulation of CD8-positive, alpha-beta T cell proliferation,
HLA-G	major histocompatibility complex, class I, G(HLA-G)	Homo sapiens	GO:0002474~antigen processing and presentation of peptide antigen via MHC class I,GO:0002479~antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent,GO:0002480~antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent,GO:0002645~positive regulation of tolerance induction,GO:0002666~positive regulation of T cell tolerance induction,GO:0002767~immune response-inhibiting cell surface receptor signaling pathway,GO:0006968~cellular defense response,GO:0019882~antigen processing and presentation,GO:0032735~positive regulation of interleukin-12 production,GO:0042130~negative regulation of T cell proliferation,GO:0045591~positive regulation of regulatory T cell differentiation,GO:0050776~regulation of immune response,GO:0050777~negative regulation of immune response,GO:0060333~interferon-gamma-mediated signaling pathway,GO:0060337~type I interferon signaling pathway,GO:2001199~negative regulation of dendritic cell differentiation,
HLA-DQA1	major histocompatibility complex, class II, DQ alpha 1(HLA-DQA1)	Homo sapiens	GO:0002504~antigen processing and presentation of peptide or polysaccharide antigen via MHC class II,GO:0006955~immune response,GO:0019882~antigen processing and presentation,GO:0019886~antigen processing and presentation of exogenous peptide antigen via MHC class II,GO:0031295~T cell costimulation,GO:0050852~T cell receptor signaling pathway,GO:0060333~interferon-gamma-mediated signaling pathway,
HLA-DQB1	major histocompatibility complex, class II, DQ beta 1(HLA-DQB1)	Homo sapiens	GO:0002381~immunoglobulin production involved in immunoglobulin mediated immune response,GO:0002455~humoral immune response mediated by circulating immunoglobulin,GO:0002474~antigen processing and presentation of peptide antigen via MHC class I,GO:0002504~antigen processing and presentation of peptide or polysaccharide antigen via MHC class II,GO:0006955~immune response,GO:0019882~antigen processing and presentation,GO:0019886~antigen processing and presentation of exogenous peptide antigen via MHC class II,GO:0031295~T cell costimulation,GO:0050852~T cell receptor signaling pathway,GO:0060333~interferon-gamma-mediated signaling pathway,
HLA-DRA	major histocompatibility complex, class II, DR alpha(HLA-DRA)	Homo sapiens	GO:0002503~peptide antigen assembly with MHC class II protein complex,GO:0002504~antigen processing and presentation of peptide or polysaccharide antigen via MHC class II,GO:0002506~polysaccharide assembly with MHC class II protein complex,GO:0006955~immune response,GO:0016032~viral process,GO:0019882~antigen processing and presentation,GO:0019886~antigen processing and presentation of exogenous peptide antigen via MHC class II,GO:0031295~T cell costimulation,GO:0050852~T cell receptor signaling pathway,GO:0050890~cognition,GO:0060333~interferon-gamma-mediated signaling pathway,
HLA-DRB1	major histocompatibility complex, class II, DR beta 1(HLA-DRB1)	Homo sapiens	GO:0002381~immunoglobulin production involved in immunoglobulin mediated immune response,GO:0002437~inflammatory response to antigenic stimulus,GO:0002455~humoral immune response mediated by circulating immunoglobulin,GO:0002503~peptide antigen assembly with MHC class II protein complex,GO:0002504~antigen processing and presentation of peptide or polysaccharide antigen via MHC class II,GO:0002506~polysaccharide assembly with MHC class II protein complex,GO:0006955~immune response,GO:0016045~detection of bacterium,GO:0019882~antigen processing and presentation,GO:0019886~antigen processing and presentation of exogenous peptide antigen via MHC class II,GO:0031295~T cell costimulation,GO:0032673~regulation of interleukin-4 production,GO:0032689~negative regulation of interferon-gamma production,GO:0035774~positive regulation of insulin secretion involved in cellular response to glucose stimulus,GO:0042088~T-helper 1 type immune response,GO:0042130~negative regulation of T cell proliferation,GO:0050852~T cell receptor signaling pathway,GO:0051262~protein tetramerization,GO:0060333~interferon-gamma-mediated signaling pathway,GO:2001179~regulation of interleukin-10 secretion,
MIP	major intrinsic protein of lens fiber(MIP)	Homo sapiens	GO:0002088~lens development in camera-type eye,GO:0006833~water transport,GO:0007601~visual perception,GO:0009992~cellular water homeostasis,GO:0015793~glycerol transport,GO:0034220~ion transmembrane transport,GO:0045785~positive regulation of cell adhesion,GO:0050896~response to stimulus,GO:0051289~protein homotetramerization,GO:1990349~gap junction-mediated intercellular transport,
MCAT	malonyl-CoA-acyl carrier protein transacylase(MCAT)	Homo sapiens	GO:0006633~fatty acid biosynthetic process,GO:0008152~metabolic process,
MGAM	maltase-glucoamylase(MGAM)	Homo sapiens	GO:0000023~maltose metabolic process,GO:0005975~carbohydrate metabolic process,GO:0005983~starch catabolic process,GO:0044245~polysaccharide digestion,
MBL2	mannose binding lectin 2(MBL2)	Homo sapiens	GO:0001867~complement activation, lectin pathway,GO:0006508~proteolysis,GO:0006953~acute-phase response,GO:0006956~complement activation,GO:0006958~complement activation, classical pathway,GO:0006979~response to oxidative stress,GO:0008228~opsonization,GO:0042742~defense response to bacterium,GO:0044130~negative regulation of growth of symbiont in host,GO:0045087~innate immune response,GO:0048525~negative regulation of viral process,GO:0050766~positive regulation of phagocytosis,GO:0050830~defense response to Gram-positive bacterium,GO:0051873~killing by host of symbiont cells,
MRC1	mannose receptor, C type 1(MRC1)	Homo sapiens	GO:0006898~receptor-mediated endocytosis,GO:0007165~signal transduction,GO:0046718~viral entry into host cell,GO:0071222~cellular response to lipopolysaccharide,GO:0071346~cellular response to interferon-gamma,GO:0071353~cellular response to interleukin-4,
